,author,num_read,num_reply,posttime,title,url
0,['燕城风哥哥'],['1047'],['9'],['2017-05-13'],['161若合并214，利好的是月坛还是161？'],['http://jzb.com/bbs/thread-5378724-1-1.html']
1,['mikehao'],['415'],['9'],['2017-05-13'],['东城灯市口小学 Vs 西城青年湖小学'],['http://jzb.com/bbs/thread-5379290-1-1.html']
2,['素质教育没素质'],['5478'],['14'],['2017-05-12'],['呵呵了 学区房到底是不是不能买了'],['http://jzb.com/bbs/thread-5373613-1-1.html']
3,['bbcats'],['4762'],['21'],['2017-05-10'],['既然陶白这么火，那我也再问个陶白的旧事'],['http://jzb.com/bbs/thread-5368116-1-1.html']
4,['et1985'],['6398'],['20'],['2016-08-30'],['东城史家分校VS西城德胜片'],['http://jzb.com/bbs/thread-4765153-1-1.html']
5,['cyekin'],['9395'],['38'],['2016-09-14'],['有最近打算在自忠小学买房的家长吗？'],['http://jzb.com/bbs/thread-4782025-1-1.html']
6,['飞翔飞翔飞翔665'],['7262'],['60'],['2017-05-06'],['求助，西城购房各位大神给提个建议'],['http://jzb.com/bbs/thread-5355319-1-1.html']
7,['rongtian2588'],['6050'],['41'],['2017-03-13'],['现在保底翠微，是否有必要换到育英或者奋斗？'],['http://jzb.com/bbs/thread-5232725-1-1.html']
8,['内存溢出'],['8845'],['51'],['2017-05-05'],['西城学区房终结了奥数点招'],['http://jzb.com/bbs/thread-5349993-1-1.html']
9,['tianba1985'],['16606'],['91'],['2017-05-06'],['161要搬迁进陶白'],['http://jzb.com/bbs/thread-5353790-1-1.html']
10,['barony'],['28345'],['104'],['2016-12-23'],['小白家长看西城新派位表看的异常焦虑，今天干脆签了椿树馆'],['http://jzb.com/bbs/thread-4910369-1-1.html']
11,['pepewm'],['3315'],['9'],['2017-05-11'],['总结一下各学区中介的特点'],['http://jzb.com/bbs/thread-5372930-1-1.html']
12,['唐憎麻麻'],['9308'],['67'],['2017-05-03'],['举棋不定的家长，请求高人指点。（第一次发帖，还望大家多多帮助）'],['http://jzb.com/bbs/thread-5345326-1-1.html']
13,['m772989'],['2414'],['5'],['2017-05-12'],['有点迷茫到底要不要买房'],['http://jzb.com/bbs/thread-5374850-1-1.html']
14,['pepewm'],['17866'],['43'],['2017-05-06'],['关于西城陶白、广内、广外、德胜、金融、新街口学区的一点想法'],['http://jzb.com/bbs/thread-5353538-1-1.html']
15,['lili1966111'],['3508'],['9'],['2016-07-06'],['自忠小学学区房'],['http://jzb.com/bbs/thread-4673673-1-1.html']
16,['wangran2930'],['3458'],['44'],['2017-05-08'],['星河实验小学有人关注吗'],['http://jzb.com/bbs/thread-5359389-1-1.html']
17,['nongjia'],['16963'],['70'],['2017-05-02'],['广外怎么又中奖了？'],['http://jzb.com/bbs/thread-5341980-1-1.html']
18,['pepewm'],['7889'],['17'],['2017-05-10'],['闻风大师：新街口学区曙光 终于来了'],['http://jzb.com/bbs/thread-5367937-1-1.html']
19,['toote'],['13805'],['27'],['2016-06-30'],['已入手玉海园三居室，单价5万9!！！！'],['http://jzb.com/bbs/thread-4655168-1-1.html']
20,['xuaner555'],['9520'],['41'],['2017-03-03'],['八里庄学区有可能100%直升首师大？那世纪城片区是不是就是海淀洼地'],['http://jzb.com/bbs/thread-5192849-1-1.html']
21,['x周同学'],['28329'],['48'],['2017-03-16'],['西城各划片学区，小区户型，环境，居住品质介绍（慢更）'],['http://jzb.com/bbs/thread-5240691-1-1.html']
22,['weiweiawxy'],['6169'],['22'],['2015-12-03'],['石景山爱乐实验小学毕业后可以直升京源初中吗'],['http://jzb.com/bbs/thread-3678827-1-1.html']
23,['ysw1290'],['3170'],['19'],['2017-05-10'],['最均衡的广内学区'],['http://jzb.com/bbs/thread-5367796-1-1.html']
24,['godlike2017'],['9737'],['50'],['2017-04-28'],['受试点政策影响，版里朝阳的开始自抬身价找接盘侠了'],['http://jzb.com/bbs/thread-5334301-1-1.html']
25,['昕宝妈爱昕宝'],['5211'],['22'],['2017-05-06'],['买中关村三小、一小、人大附小学区房'],['http://jzb.com/bbs/thread-5354983-1-1.html']
26,['mikehao'],['2817'],['15'],['2017-04-27'],['西城青年湖小学，求助各位大侠'],['http://jzb.com/bbs/thread-5330563-1-1.html']
27,['snowbow'],['2314'],['10'],['2017-05-09'],['求助，月坛片区VS龙体片区'],['http://jzb.com/bbs/thread-5364428-1-1.html']
28,['yatou0509'],['3457'],['19'],['2017-05-03'],['保底玉桃园，18年老大入学，需要换个好点的学校吗'],['http://jzb.com/bbs/thread-5344754-1-1.html']
29,['敖其尔爸爸'],['140354'],['420'],['2015-02-25'],['春节把海淀、东城及其他区县的扫盲材料整理了一下'],['http://jzb.com/bbs/thread-3232069-1-1.html']
30,['chayehui'],['33428'],['132'],['2017-02-22'],['风险警示:西城不能碰月坛新街口大椿天，学区内全是大坑'],['http://jzb.com/bbs/thread-4966299-1-1.html']
31,['nongjia'],['12393'],['40'],['2017-05-05'],['椿树馆从14万跌到11万，又开始13万了，西城学区行情又来了'],['http://jzb.com/bbs/thread-5352093-1-1.html']
32,['flyauto'],['4382'],['24'],['2017-04-30'],['朝阳现在交易快吗？全款2个月能办完吗'],['http://jzb.com/bbs/thread-5336378-1-1.html']
33,['ansu'],['28443'],['98'],['2017-03-10'],['我来说说东城龙体'],['http://jzb.com/bbs/thread-5201721-1-1.html']
34,['4gband'],['39958'],['120'],['2017-03-30'],['都散了吧，有家长给西城教委小教科熟人打电话了，今年幼升小政策不'],['http://jzb.com/bbs/thread-5268292-1-1.html']
35,['pepewm'],['7592'],['16'],['2017-05-07'],['总结一下学区房的现状：东稳 西狂 朝吹 丰弱 海神通？'],['http://jzb.com/bbs/thread-5356937-1-1.html']
36,['零下12度'],['55733'],['258'],['2016-12-09'],['广外码农家长来阐述一下买广外的优势'],['http://jzb.com/bbs/thread-4894771-1-1.html']
37,['pepewm'],['2111'],['9'],['2017-05-07'],['西吹当中的广外派 似乎功力不够 中介也分369等吗？'],['http://jzb.com/bbs/thread-5356827-1-1.html']
38,['飞翔飞翔飞翔665'],['1685'],['3'],['2017-05-06'],['西城首套该如何定夺，各位大神给个建议？'],['http://jzb.com/bbs/thread-5354703-1-1.html']
39,['yuanlius'],['23103'],['64'],['2017-02-28'],['仅仅谈月坛学区感受'],['http://jzb.com/bbs/thread-5180968-1-1.html']
40,['newbeck'],['5455'],['24'],['2017-05-03'],['朝阳学区查询系统说明有变化啊'],['http://jzb.com/bbs/thread-5344011-1-1.html']
41,['nanavi'],['1666'],['15'],['2017-05-02'],['求助：孩子是北京户口，妈妈外地户口可以上朝阳实验吗'],['http://jzb.com/bbs/thread-5341648-1-1.html']
42,['tangbo995'],['920'],['2'],['2017-05-05'],['朝阳教改后新源里片区算利好吗？'],['http://jzb.com/bbs/thread-5351097-1-1.html']
43,['zengxiaoxin'],['9792'],['45'],['2017-05-02'],['真诚求教：400万现在是否应该进西城，推荐哪里？'],['http://jzb.com/bbs/thread-5341628-1-1.html']
44,['yolandahan1981'],['8408'],['18'],['2016-10-21'],['请教大家，孩子19年上学，现在入自忠、奋斗、西什库小...'],['http://jzb.com/bbs/thread-4824003-1-1.html']
45,['wylpxt'],['1816'],['3'],['2017-05-03'],['芳草地国际本部＋陈经纶本部 的单片划校'],['http://jzb.com/bbs/thread-5345999-1-1.html']
46,['shijiebest'],['2959'],['10'],['2016-08-22'],['清华附中朝阳学校的几个校区有什么区别'],['http://jzb.com/bbs/thread-4754893-1-1.html']
47,['baiwang'],['9975'],['38'],['2017-02-24'],['椿树馆广外南街今天又成交了一套单价12万的'],['http://jzb.com/bbs/thread-4969179-1-1.html']
48,['zengxiaoxin'],['2161'],['12'],['2017-05-03'],['请教西城车站东街15号院划片哪里？'],['http://jzb.com/bbs/thread-5344711-1-1.html']
49,['芒果蔬菜'],['13351'],['54'],['2016-03-03'],['关于人大附中朝阳学校，大家有什么想知道的，尽量回答'],['http://jzb.com/bbs/thread-4032526-1-1.html']
50,['tbgsone'],['1765'],['8'],['2017-05-02'],['垂杨柳中心小学'],['http://jzb.com/bbs/thread-5340887-1-1.html']
51,['juphia'],['16279'],['59'],['2017-04-28'],['西城学区房，沙扬娜拉~~'],['http://jzb.com/bbs/thread-5333518-1-1.html']
52,['polarisjia'],['28434'],['82'],['2016-08-09'],['说说史家实验和东直门的那些学校'],['http://jzb.com/bbs/thread-4740051-1-1.html']
53,['张村长驾到'],['5835'],['14'],['2017-05-01'],['同一个小区同样户型三个月涨了280万'],['http://jzb.com/bbs/thread-5338809-1-1.html']
54,['hebutly'],['2969'],['10'],['2017-03-23'],['动批搬迁后，文兴街小学（建大附小）何去何从'],['http://jzb.com/bbs/thread-5254813-1-1.html']
55,['史蒂夫王'],['11554'],['31'],['2017-03-08'],['800W海淀选学区房体验，内容丰富欢迎讨论~'],['http://jzb.com/bbs/thread-5199507-1-1.html']
56,['lovetimesofgigi'],['25895'],['85'],['2016-08-30'],['纠结金融街和月坛片区，求解！'],['http://jzb.com/bbs/thread-4764871-1-1.html']
57,['范二青年一个'],['4329'],['15'],['2017-05-01'],['突然想到，朝阳新政会不会增加离婚率啊'],['http://jzb.com/bbs/thread-5337805-1-1.html']
